"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-72,85","45,03","FRELIGHSBURG","7022579","2014-01-01","2014","01","01","","-14,2","","-24,6","","-19,4","","37,4","","0,0","","","M","","M","1,2","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2014-01-02","2014","01","02","","-22,8","","-25,9","","-24,4","","42,4","","0,0","","","M","","M","0,0","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2014-01-03","2014","01","03","","-21,9","","-29,3","","-25,6","","43,6","","0,0","","","M","","M","0,0","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2014-01-04","2014","01","04","","-5,6","","-28,6","","-17,1","","35,1","","0,0","","","M","","M","1,0","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2014-01-05","2014","01","05","","4,8","","-6,0","","-0,6","","18,6","","0,0","","","M","","M","3,6","","","","","M","","M"
"-72,85","45,03","FRELIGHSBURG","7022579","2014-01-06","2014","01","06","","8,7","","-8,9","","-0,1","","18,1","","0,0","","","M","","M","8,6","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2014-01-07","2014","01","07","","-8,6","","-15,0","","-11,8","","29,8","","0,0","","","M","","M","0,0","","","","26","","50",""
"-72,85","45,03","FRELIGHSBURG","7022579","2014-01-08","2014","01","08","","-8,8","","-13,8","","-11,3","","29,3","","0,0","","","M","","M","","M","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2014-01-09","2014","01","09","","-7,5","","-15,4","","-11,5","","29,5","","0,0","","","M","","M","0,0","","","","29","","33",""
"-72,85","45,03","FRELIGHSBURG","7022579","2014-01-10","2014","01","10","","0,7","","-16,0","","-7,7","","25,7","","0,0","","","M","","M","1,1","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2014-01-11","2014","01","11","","11,1","","0,6","","5,9","","12,1","","0,0","","","M","","M","19,6","","","","27","","37",""
